open,close,min,max
1.113785,1.114025,1.113735,1.114025
1.114025,1.114005,1.113985,1.114115
1.114005,1.114095,1.114005,1.114145
1.114085,1.113995,1.113945,1.114085
1.113995,1.113945,1.113945,1.114025
1.113935,1.113825,1.113815,1.113945
1.113815,1.113715,1.113705,1.113825
1.113715,1.113695,1.113645,1.113725
1.113695,1.113655,1.113635,1.113725
1.113665,1.113585,1.113575,1.113665
1.113595,1.113525,1.113495,1.113625
1.113535,1.113565,1.113535,1.113665
1.113595,1.113715,1.113565,1.113715
1.113715,1.113585,1.113515,1.113715
1.113595,1.113615,1.113555,1.113645
1.113625,1.113545,1.113545,1.113685
1.113545,1.113475,1.113465,1.113605
1.113485,1.113585,1.113445,1.113585
1.113585,1.113505,1.113485,1.113625
1.113505,1.113435,1.113415,1.113555
1.113415,1.113275,1.113275,1.113465
1.113275,1.113425,1.113245,1.113425
1.113415,1.113535,1.113405,1.113545
1.113525,1.113315,1.113305,1.113525
1.113325,1.113205,1.113155,1.113355
1.113195,1.113155,1.113155,1.113265
1.113165,1.113055,1.113045,1.113195
1.113045,1.113155,1.113035,1.113175
1.113145,1.113125,1.113105,1.113195
1.113115,1.113075,1.112985,1.113115
1.113065,1.112945,1.112945,1.113075
1.112945,1.112995,1.112905,1.113025
1.112965,1.112985,1.112965,1.113115
1.112965,1.113145,1.112945,1.113145
1.113125,1.113115,1.113065,1.113195
1.113135,1.112955,1.112955,1.113155
1.112965,1.113005,1.112905,1.113035
1.112985,1.112945,1.112885,1.113015
1.112945,1.112855,1.112805,1.112955
1.112845,1.112665,1.112665,1.112865
1.112685,1.112775,1.112685,1.112775
1.112775,1.112765,1.112655,1.112815
1.112755,1.112695,1.112675,1.112785
1.112705,1.112685,1.112635,1.112715
1.112675,1.112765,1.112675,1.112825
1.112785,1.112705,1.112645,1.112785
1.112705,1.112545,1.112515,1.112745
1.112545,1.112335,1.112335,1.112545
1.112325,1.112255,1.112235,1.112375
1.112255,1.112425,1.112245,1.112465
1.112405,1.112325,1.112325,1.112495
1.112335,1.112475,1.112315,1.112495
1.112485,1.112485,1.112455,1.112545
1.112495,1.112495,1.112495,1.112595
1.112495,1.112665,1.112495,1.112705
1.112655,1.112695,1.112635,1.112705
1.112715,1.112775,1.112695,1.112855
1.112785,1.112755,1.112685,1.112815
1.112765,1.112805,1.112755,1.112905
1.112795,1.112565,1.112545,1.112805
1.112565,1.112435,1.112435,1.112585
1.112435,1.112465,1.112395,1.112475
1.112465,1.112515,1.112465,1.112565
1.112525,1.112505,1.112495,1.112555
1.112515,1.112425,1.112405,1.112535
1.112425,1.112525,1.112395,1.112545
1.112525,1.112545,1.112355,1.112545
1.112555,1.112455,1.112455,1.112555
1.112455,1.112235,1.112235,1.112475
1.112225,1.111955,1.111915,1.112225
1.111945,1.111915,1.111855,1.112015
1.111905,1.111815,1.111775,1.111905
1.111815,1.111845,1.111815,1.111925
1.111855,1.111995,1.111825,1.111995
1.111995,1.112075,1.111955,1.112125
1.112065,1.112125,1.112035,1.112125
1.112135,1.112025,1.111975,1.112155
1.112015,1.112125,1.111965,1.112125
1.112115,1.112365,1.112115,1.112365
1.112375,1.112505,1.112345,1.112525
1.112505,1.112525,1.112485,1.112635
1.112515,1.112675,1.112495,1.112705
1.112675,1.112585,1.112545,1.112675
1.112575,1.112445,1.112445,1.112595
1.112445,1.112385,1.112345,1.112515
1.112385,1.112745,1.112385,1.112765
1.112755,1.112655,1.112645,1.112765
1.112675,1.112715,1.112675,1.112835
1.112705,1.112615,1.112575,1.112705
1.112625,1.112615,1.112555,1.112655
1.112615,1.112555,1.112515,1.112655
1.112565,1.112485,1.112465,1.112565
1.112485,1.112415,1.112355,1.112485
1.112405,1.112425,1.112395,1.112475
1.112435,1.112315,1.112315,1.112495
1.112315,1.112345,1.112245,1.112365
1.112415,1.112535,1.112375,1.112535
1.112525,1.112495,1.112495,1.112585
1.112495,1.112545,1.112465,1.112585
1.112555,1.112425,1.112365,1.112565
1.112415,1.112285,1.112285,1.112415
1.112285,1.112265,1.112255,1.112305
1.112265,1.112245,1.112165,1.112265
1.112255,1.112215,1.112125,1.112255
1.112195,1.112065,1.112045,1.112265
1.112075,1.112105,1.112025,1.112145
1.112105,1.111935,1.111925,1.112105
